Payment_ID,Order_ID,Payment_Date,Payment_Amount,Payment_Method
PAY-0053,ORD-0485,2024-10-17,24540.25,Debit Card
PAY-0054,ORD-0397,2024-09-03,27643.64,Cash
PAY-0055,ORD-0168,2024-12-08,23739.78,Cash
PAY-0056,ORD-0016,2024-02-28,29893.65,Cash
PAY-0057,ORD-0325,2024-12-19,2119.46,Credit Card
PAY-0058,ORD-0140,2024-08-24,23039.56,Cash
PAY-0059,ORD-0402,2024-01-10,30468.63,Cash
PAY-0060,ORD-0231,2024-10-06,15113.92,UPI
PAY-0061,ORD-0252,2024-10-30,31598.28,Credit Card
PAY-0062,ORD-0117,2024-08-31,12564.68,UPI
PAY-0063,ORD-0183,2024-05-09,31742.47,Net Banking
PAY-0064,ORD-0284,2024-01-22,18605.86,Net Banking
PAY-0065,ORD-0193,2024-05-27,45219.49,UPI
PAY-0066,ORD-0222,2024-10-24,12879.86,Net Banking
PAY-0067,ORD-0096,2024-04-02,22186.75,Net Banking
PAY-0068,ORD-0349,2024-08-11,38375.29,Net Banking
PAY-0069,ORD-0300,2024-05-13,11457.68,Debit Card
PAY-0070,ORD-0339,2024-01-07,23008.51,UPI
PAY-0071,ORD-0195,2024-05-22,39909.1,UPI
PAY-0072,ORD-0044,2024-05-15,24942.86,Credit Card
PAY-0073,ORD-0396,2024-12-19,31837.3,UPI
PAY-0074,ORD-0317,2024-02-11,21246.77,Debit Card
PAY-0075,ORD-0152,2024-12-19,33352.6,Debit Card
PAY-0076,ORD-0409,2024-06-05,11143.64,Debit Card
PAY-0077,ORD-0127,2024-02-17,46745.3,UPI
PAY-0078,ORD-0366,2024-05-06,12277.61,Credit Card
PAY-0079,ORD-0038,2024-07-25,14786.22,UPI
PAY-0080,ORD-0043,2024-03-03,25273.37,Cash
PAY-0081,ORD-0138,2024-11-11,27819.91,Net Banking
PAY-0082,ORD-0079,2024-03-05,14277.88,Debit Card
PAY-0083,ORD-0455,2024-01-31,1799.56,Credit Card
PAY-0084,ORD-0487,2024-02-15,13664.77,UPI
PAY-0085,ORD-0442,2024-02-21,33008.45,Cash
PAY-0086,ORD-0444,2024-06-02,5856.81,UPI
PAY-0087,ORD-0419,2024-06-18,8055.63,Credit Card
PAY-0088,ORD-0468,2024-08-15,31842.01,Credit Card
PAY-0089,ORD-0475,2024-02-06,36219.0,Credit Card
PAY-0090,ORD-0163,2024-05-07,23117.94,Cash
PAY-0091,ORD-0185,2024-05-22,49872.58,Cash
PAY-0092,ORD-0055,2024-11-09,49978.83,Net Banking
PAY-0093,ORD-0047,2024-05-17,21885.42,Net Banking
PAY-0094,ORD-0003,2024-05-04,15616.32,UPI
PAY-0095,ORD-0158,2024-12-22,29713.93,Debit Card
PAY-0096,ORD-0228,2024-07-19,28810.17,Net Banking
PAY-0097,ORD-0410,2024-12-08,22851.97,UPI
PAY-0098,ORD-0390,2024-02-15,45530.19,Credit Card
PAY-0099,ORD-0139,2024-02-08,27399.79,Credit Card
PAY-0100,ORD-0053,2024-06-12,28972.36,Net Banking
PAY-0101,ORD-0068,2024-12-17,17724.07,Cash
PAY-0102,ORD-0045,2024-04-02,4481.87,Net Banking
PAY-0103,ORD-0434,2024-04-09,37639.07,Debit Card
PAY-0104,ORD-0221,2024-01-13,18430.0,Credit Card
PAY-0105,ORD-0230,2024-10-04,49638.26,Cash
PAY-0106,ORD-0286,2024-05-09,1188.97,UPI
PAY-0107,ORD-0285,2024-01-16,39638.76,UPI
PAY-0108,ORD-0263,2024-05-14,7041.91,Net Banking
PAY-0109,ORD-0209,2024-08-03,23326.92,Credit Card
PAY-0110,ORD-0401,2024-08-20,22958.91,Debit Card
PAY-0111,ORD-0014,2024-03-24,632.45,Net Banking
PAY-0112,ORD-0046,2024-10-26,2473.11,Credit Card
PAY-0113,ORD-0182,2024-05-12,3886.83,Net Banking
PAY-0114,ORD-0437,2024-05-24,48435.73,Credit Card
PAY-0115,ORD-0048,2024-01-21,15953.62,Net Banking
PAY-0116,ORD-0306,2024-03-25,7418.96,Net Banking
PAY-0117,ORD-0307,2024-06-10,47339.95,Credit Card
PAY-0118,ORD-0167,2024-08-25,8140.88,Cash
PAY-0119,ORD-0198,2024-10-03,7705.7,UPI
PAY-0120,ORD-0007,2024-01-14,47405.71,Cash
PAY-0121,ORD-0150,2024-03-16,40664.74,Cash
PAY-0122,ORD-0212,2024-10-06,965.17,Credit Card
PAY-0123,ORD-0199,2024-02-13,26792.73,Net Banking
PAY-0124,ORD-0429,2024-06-13,28298.53,UPI
PAY-0125,ORD-0372,2024-06-24,37410.43,Credit Card
PAY-0126,ORD-0287,2024-04-15,27060.33,Net Banking
PAY-0127,ORD-0125,2024-11-16,39605.31,Net Banking
PAY-0128,ORD-0293,2024-08-30,47044.45,Net Banking
PAY-0129,ORD-0267,2024-08-22,45717.61,Credit Card
PAY-0130,ORD-0087,2024-12-24,20955.75,Credit Card
PAY-0131,ORD-0351,2024-09-24,11189.59,Credit Card
PAY-0132,ORD-0418,2024-10-10,19027.9,Net Banking
PAY-0133,ORD-0464,2024-10-22,43558.2,UPI
PAY-0134,ORD-0467,2024-09-04,7522.8,Cash
PAY-0135,ORD-0420,2024-07-01,46187.76,UPI
PAY-0136,ORD-0155,2024-08-06,25018.77,Credit Card
PAY-0137,ORD-0423,2024-05-21,5114.89,Credit Card
PAY-0138,ORD-0253,2024-10-16,45218.48,Credit Card
PAY-0139,ORD-0075,2024-06-21,47287.08,Cash
PAY-0140,ORD-0033,2024-02-07,4034.79,Debit Card
PAY-0141,ORD-0086,2024-07-28,27358.38,Debit Card
PAY-0142,ORD-0223,2024-07-13,42342.54,UPI
PAY-0143,ORD-0142,2024-11-19,9838.29,Debit Card
PAY-0144,ORD-0216,2024-04-16,8319.79,Cash
PAY-0145,ORD-0482,2024-01-31,33861.45,UPI
PAY-0146,ORD-0248,2024-11-16,34049.34,Debit Card
PAY-0147,ORD-0483,2024-03-19,13969.09,UPI
PAY-0148,ORD-0404,2024-05-31,35238.08,Credit Card
PAY-0149,ORD-0129,2024-12-13,41117.2,Cash
PAY-0150,ORD-0424,2024-06-07,5279.94,Cash
PAY-0151,ORD-0321,2024-05-05,5401.57,Credit Card
PAY-0152,ORD-0254,2024-12-07,32493.86,Credit Card
PAY-0153,ORD-0449,2024-01-09,40457.46,Net Banking
PAY-0154,ORD-0316,2024-04-13,47325.72,Net Banking
PAY-0155,ORD-0101,2024-10-09,12345.22,Debit Card
PAY-0156,ORD-0235,2024-04-24,28513.49,Debit Card
PAY-0157,ORD-0425,2024-05-08,37070.4,Net Banking
PAY-0158,ORD-0070,2024-04-10,33671.61,Debit Card
PAY-0159,ORD-0156,2024-04-23,2332.47,UPI
PAY-0160,ORD-0004,2024-03-27,31240.85,UPI
PAY-0161,ORD-0203,2024-07-18,4408.93,UPI
PAY-0162,ORD-0171,2024-11-01,34788.88,Cash
PAY-0163,ORD-0318,2024-10-31,37242.32,Cash
PAY-0164,ORD-0369,2024-11-11,3093.75,UPI
PAY-0165,ORD-0169,2024-09-29,48475.58,Credit Card
PAY-0166,ORD-0226,2024-07-02,24418.8,Debit Card
PAY-0167,ORD-0172,2024-06-12,32666.91,Net Banking
PAY-0168,ORD-0447,2024-04-01,38248.98,Net Banking
PAY-0169,ORD-0348,2024-03-20,3460.97,Net Banking
PAY-0170,ORD-0343,2024-08-10,1557.19,Credit Card
PAY-0171,ORD-0356,2024-09-04,640.36,Debit Card
PAY-0172,ORD-0165,2024-08-24,20793.94,Cash
PAY-0173,ORD-0309,2024-10-26,24884.92,Credit Card
PAY-0174,ORD-0103,2024-06-07,27766.53,Credit Card
PAY-0175,ORD-0246,2024-08-27,32012.58,Cash
PAY-0176,ORD-0161,2024-01-28,22295.16,UPI
PAY-0177,ORD-0091,2024-04-10,31457.73,Net Banking
PAY-0178,ORD-0448,2024-06-04,28917.95,UPI
PAY-0179,ORD-0164,2024-03-04,30842.76,Net Banking
PAY-0180,ORD-0380,2024-05-14,39269.74,Net Banking
PAY-0181,ORD-0440,2024-11-01,29106.97,UPI
PAY-0182,ORD-0295,2024-03-01,12074.18,UPI
PAY-0183,ORD-0374,2024-09-10,39011.84,UPI
PAY-0184,ORD-0383,2024-11-03,23173.1,UPI
PAY-0185,ORD-0495,2024-04-27,2748.16,Debit Card
PAY-0186,ORD-0144,2024-04-10,28803.98,Credit Card
PAY-0187,ORD-0202,2024-05-01,8914.19,Debit Card
PAY-0188,ORD-0187,2024-09-06,21981.59,Cash
PAY-0189,ORD-0059,2024-10-25,37935.31,Credit Card
PAY-0190,ORD-0480,2024-11-19,7308.43,Credit Card
PAY-0191,ORD-0327,2024-03-02,22447.46,Net Banking
PAY-0192,ORD-0304,2024-11-07,15458.41,Cash
PAY-0193,ORD-0280,2024-04-24,36348.73,Net Banking
PAY-0194,ORD-0093,2024-12-08,10576.13,UPI
PAY-0195,ORD-0282,2024-02-05,48379.85,Cash
PAY-0196,ORD-0403,2024-02-17,5409.33,Credit Card
PAY-0197,ORD-0237,2024-08-11,37361.11,Debit Card
PAY-0198,ORD-0108,2024-11-09,20218.8,Debit Card
PAY-0199,ORD-0225,2024-01-06,19542.32,Credit Card
PAY-0200,ORD-0350,2024-04-01,10754.29,Cash
PAY-0201,ORD-0036,2024-11-24,37573.41,Net Banking
PAY-0202,ORD-0210,2024-07-27,13071.88,Debit Card
PAY-0203,ORD-0256,2024-02-14,22320.75,Debit Card
PAY-0204,ORD-0367,2024-08-26,16526.69,UPI
PAY-0205,ORD-0342,2024-02-24,30058.72,Cash
PAY-0206,ORD-0479,2024-10-22,3104.14,UPI
PAY-0207,ORD-0130,2024-06-07,14500.53,UPI
PAY-0208,ORD-0414,2024-10-11,21091.49,Net Banking
PAY-0209,ORD-0217,2024-08-04,22365.62,Cash
PAY-0210,ORD-0194,2024-05-03,2776.55,Net Banking
PAY-0211,ORD-0422,2024-08-20,41672.71,UPI
PAY-0212,ORD-0477,2024-09-09,28595.88,Net Banking
PAY-0213,ORD-0326,2024-11-06,18841.23,UPI
PAY-0214,ORD-0206,2024-12-27,12421.07,Cash
PAY-0215,ORD-0274,2024-02-11,14891.59,UPI
PAY-0216,ORD-0260,2024-08-27,15107.97,UPI
PAY-0217,ORD-0215,2024-02-01,34041.74,Credit Card
PAY-0218,ORD-0279,2024-06-28,43076.96,Cash
PAY-0219,ORD-0019,2024-08-28,35494.31,UPI
PAY-0220,ORD-0465,2024-05-26,28532.89,Cash
PAY-0221,ORD-0275,2024-08-30,6200.9,UPI
PAY-0222,ORD-0377,2024-09-06,25440.02,Cash
PAY-0223,ORD-0056,2024-09-19,33777.94,Net Banking
PAY-0224,ORD-0128,2024-05-02,25633.01,Net Banking
PAY-0225,ORD-0388,2024-09-23,34461.83,Credit Card
PAY-0226,ORD-0360,2024-05-17,12907.38,Credit Card
PAY-0227,ORD-0023,2024-06-28,46233.6,Cash
PAY-0228,ORD-0205,2024-03-20,27103.35,Credit Card
PAY-0229,ORD-0471,2024-01-30,11149.08,Cash
PAY-0230,ORD-0333,2024-12-06,48903.21,Debit Card
PAY-0231,ORD-0344,2024-07-04,39446.33,UPI
PAY-0232,ORD-0006,2024-08-01,37134.42,Net Banking
PAY-0233,ORD-0458,2024-12-26,13738.66,UPI
PAY-0234,ORD-0133,2024-03-19,49945.67,Credit Card
PAY-0235,ORD-0114,2024-12-14,14034.53,Debit Card
PAY-0236,ORD-0262,2024-01-29,9194.18,UPI
PAY-0237,ORD-0266,2024-04-19,26777.19,Debit Card
PAY-0238,ORD-0229,2024-08-02,28953.19,Cash
PAY-0239,ORD-0192,2024-02-10,34853.06,Cash
PAY-0240,ORD-0201,2024-03-21,39729.71,Net Banking
PAY-0241,ORD-0238,2024-09-08,2927.69,Credit Card
PAY-0242,ORD-0462,2024-02-25,17321.32,UPI
PAY-0243,ORD-0078,2024-12-05,23013.88,Debit Card
PAY-0244,ORD-0177,2024-10-08,16174.73,Credit Card
PAY-0245,ORD-0013,2024-05-19,4215.71,Credit Card
PAY-0246,ORD-0319,2024-12-22,8148.88,Net Banking
PAY-0247,ORD-0027,2024-01-13,46716.59,Net Banking
PAY-0248,ORD-0076,2024-11-17,40771.52,Credit Card
PAY-0249,ORD-0492,2024-11-07,33115.91,Credit Card
PAY-0250,ORD-0236,2024-05-21,34447.07,Cash
PAY-0251,ORD-0247,2024-03-06,31234.11,Cash
PAY-0252,ORD-0022,2024-08-24,34525.55,Net Banking
PAY-0253,ORD-0030,2024-07-26,32557.92,Net Banking
PAY-0254,ORD-0213,2024-08-26,40329.34,Debit Card
PAY-0255,ORD-0241,2024-06-24,44387.32,Net Banking
PAY-0256,ORD-0313,2024-12-13,22955.37,UPI
PAY-0257,ORD-0037,2024-09-20,28675.75,Cash
PAY-0258,ORD-0090,2024-03-08,37943.94,UPI
PAY-0259,ORD-0080,2024-06-02,16502.05,Debit Card
PAY-0260,ORD-0088,2024-06-03,9785.34,Net Banking
PAY-0261,ORD-0439,2024-09-26,17906.49,Net Banking
PAY-0262,ORD-0261,2024-04-06,37500.3,UPI
PAY-0263,ORD-0391,2024-05-06,4137.79,Credit Card
PAY-0264,ORD-0134,2024-01-16,24737.2,Net Banking
PAY-0265,ORD-0255,2024-01-14,15792.18,Credit Card
PAY-0266,ORD-0243,2024-12-13,40043.58,Net Banking
PAY-0267,ORD-0122,2024-09-23,44026.65,Credit Card
PAY-0268,ORD-0025,2024-04-26,29141.26,Credit Card
PAY-0269,ORD-0113,2024-08-16,25689.16,Cash
PAY-0270,ORD-0281,2024-11-29,49007.14,Debit Card
PAY-0271,ORD-0179,2024-03-25,38090.39,Cash
PAY-0272,ORD-0116,2024-09-20,49022.11,Cash
PAY-0273,ORD-0082,2024-06-08,20506.67,UPI
PAY-0274,ORD-0018,2024-01-22,11958.07,Credit Card
PAY-0275,ORD-0077,2024-06-12,27729.78,UPI
PAY-0276,ORD-0012,2024-05-09,9103.77,Credit Card
PAY-0277,ORD-0208,2024-02-02,7584.33,Cash
PAY-0278,ORD-0276,2024-01-11,48163.22,Debit Card
PAY-0279,ORD-0355,2024-10-04,40556.02,Cash
PAY-0280,ORD-0269,2024-06-23,13220.02,Debit Card
PAY-0281,ORD-0218,2024-07-18,17605.5,Net Banking
PAY-0282,ORD-0288,2024-01-14,23011.91,Debit Card
PAY-0283,ORD-0166,2024-03-12,32911.68,Debit Card
PAY-0284,ORD-0459,2024-03-06,9430.6,Net Banking
PAY-0285,ORD-0174,2024-11-12,42690.9,Credit Card
PAY-0286,ORD-0273,2024-05-10,37454.69,Debit Card
PAY-0287,ORD-0486,2024-06-04,22381.19,UPI
PAY-0288,ORD-0190,2024-05-20,43692.67,Net Banking
PAY-0289,ORD-0063,2024-12-28,9483.71,UPI
PAY-0290,ORD-0376,2024-04-06,5898.17,Credit Card
PAY-0291,ORD-0399,2024-12-31,49734.07,Cash
PAY-0292,ORD-0358,2024-08-11,7662.06,Cash
PAY-0293,ORD-0463,2024-01-07,802.24,Credit Card
PAY-0294,ORD-0085,2024-06-19,33054.19,Cash
PAY-0295,ORD-0450,2024-12-31,42335.18,Credit Card
PAY-0296,ORD-0110,2024-06-14,41691.09,Debit Card
PAY-0297,ORD-0456,2024-10-11,46489.67,Credit Card
PAY-0298,ORD-0060,2024-04-08,23789.79,Cash
PAY-0299,ORD-0104,2024-05-28,27836.44,UPI
PAY-0300,ORD-0494,2024-11-15,33523.06,Net Banking
PAY-0301,ORD-0489,2024-03-02,6133.97,UPI
PAY-0302,ORD-0412,2024-07-09,17277.12,UPI
PAY-0303,ORD-0322,2024-02-25,24722.68,Debit Card
PAY-0304,ORD-0336,2024-09-17,9895.52,Credit Card
PAY-0305,ORD-0111,2024-08-28,25169.59,UPI
PAY-0306,ORD-0102,2024-01-03,8339.72,Credit Card
PAY-0307,ORD-0008,2024-04-02,10785.5,Net Banking
PAY-0308,ORD-0189,2024-05-04,31870.52,Debit Card
PAY-0309,ORD-0406,2024-07-27,32720.37,Debit Card
PAY-0310,ORD-0268,2024-06-17,41608.39,Cash
PAY-0311,ORD-0393,2024-09-09,30610.72,UPI
PAY-0312,ORD-0426,2024-04-30,40682.58,Cash
PAY-0313,ORD-0469,2024-06-26,2017.53,Credit Card
PAY-0314,ORD-0100,2024-07-28,30639.15,Net Banking
PAY-0315,ORD-0002,2024-03-23,49506.55,Net Banking
PAY-0316,ORD-0181,2024-08-18,2277.01,Credit Card
PAY-0317,ORD-0270,2024-07-13,35964.56,Cash
PAY-0318,ORD-0451,2024-10-01,48740.06,UPI
PAY-0319,ORD-0297,2024-04-23,44269.62,Net Banking
PAY-0320,ORD-0441,2024-05-24,11030.57,Cash
PAY-0321,ORD-0498,2024-08-20,880.51,Credit Card
PAY-0322,ORD-0148,2024-07-23,37362.91,UPI
PAY-0323,ORD-0433,2024-04-07,33434.36,Credit Card
PAY-0324,ORD-0364,2024-05-23,1235.59,Cash
PAY-0325,ORD-0378,2024-04-21,47298.07,UPI
PAY-0326,ORD-0094,2024-07-15,27686.37,Cash
PAY-0327,ORD-0481,2024-12-17,31082.99,Cash
PAY-0328,ORD-0191,2024-08-16,22462.09,Debit Card
PAY-0329,ORD-0118,2024-03-29,27787.62,Debit Card
PAY-0330,ORD-0484,2024-03-17,33265.97,UPI
PAY-0331,ORD-0400,2024-09-11,23689.89,UPI
PAY-0332,ORD-0126,2024-06-22,21039.65,Net Banking
PAY-0333,ORD-0136,2024-05-06,27159.74,UPI
PAY-0334,ORD-0461,2024-09-09,15794.74,UPI
PAY-0335,ORD-0081,2024-09-17,48524.14,Net Banking
PAY-0336,ORD-0153,2024-01-03,41127.0,Credit Card
PAY-0337,ORD-0245,2024-03-26,17939.89,UPI
PAY-0338,ORD-0157,2024-03-31,25363.41,Debit Card
PAY-0339,ORD-0346,2024-08-26,6733.23,Net Banking
PAY-0340,ORD-0151,2024-12-03,19610.9,Cash
PAY-0341,ORD-0431,2024-10-03,6550.45,UPI
PAY-0342,ORD-0345,2024-11-22,11492.94,Debit Card
PAY-0343,ORD-0324,2024-06-03,46648.69,Cash
PAY-0344,ORD-0334,2024-07-10,18254.36,UPI
PAY-0345,ORD-0299,2024-12-26,45805.17,Cash
PAY-0346,ORD-0335,2024-02-07,20207.91,UPI
PAY-0347,ORD-0474,2024-02-29,18817.63,Net Banking
PAY-0348,ORD-0249,2024-10-01,36185.95,Cash
PAY-0349,ORD-0035,2024-07-01,15726.78,UPI
PAY-0350,ORD-0220,2024-12-23,32127.47,Cash
PAY-0351,ORD-0031,2024-06-19,45466.37,Cash
PAY-0352,ORD-0062,2024-01-25,45845.6,UPI
PAY-0353,ORD-0373,2024-01-18,24074.18,Cash
PAY-0354,ORD-0160,2024-08-25,43772.42,UPI
PAY-0355,ORD-0408,2024-05-06,36181.58,Cash
PAY-0356,ORD-0398,2024-11-27,16596.68,Debit Card
PAY-0357,ORD-0244,2024-07-28,30549.72,Net Banking
PAY-0358,ORD-0131,2024-04-25,15278.51,Debit Card
PAY-0359,ORD-0427,2024-03-04,28040.35,Credit Card
PAY-0360,ORD-0303,2024-11-08,41981.0,Debit Card
PAY-0361,ORD-0432,2024-12-22,18003.1,Credit Card
PAY-0362,ORD-0099,2024-06-05,48670.77,Cash
PAY-0363,ORD-0109,2024-12-02,6314.57,Credit Card
PAY-0364,ORD-0176,2024-08-06,19310.47,Debit Card
PAY-0365,ORD-0338,2024-06-24,42477.64,UPI
PAY-0366,ORD-0296,2024-10-15,1738.72,Net Banking
PAY-0367,ORD-0214,2024-08-01,45109.87,Net Banking
PAY-0368,ORD-0470,2024-04-05,37432.53,Net Banking
PAY-0369,ORD-0490,2024-10-15,21780.72,Debit Card
PAY-0370,ORD-0443,2024-04-10,11600.12,Cash
PAY-0371,ORD-0137,2024-09-03,17583.64,Debit Card
PAY-0372,ORD-0415,2024-09-28,5206.75,UPI
PAY-0373,ORD-0250,2024-01-15,33129.49,Credit Card
PAY-0374,ORD-0242,2024-12-08,13938.58,Debit Card
PAY-0375,ORD-0381,2024-06-23,43415.55,Net Banking
PAY-0376,ORD-0196,2024-06-22,15021.7,Net Banking
PAY-0377,ORD-0389,2024-04-08,24768.31,Credit Card
PAY-0378,ORD-0234,2024-09-09,14086.78,Cash
PAY-0379,ORD-0186,2024-09-26,37464.94,Debit Card
PAY-0380,ORD-0413,2024-08-30,22948.2,UPI
PAY-0381,ORD-0227,2024-06-01,12241.68,Credit Card
PAY-0382,ORD-0233,2024-04-22,33082.38,Net Banking
PAY-0383,ORD-0105,2024-04-17,5113.86,Debit Card
PAY-0384,ORD-0050,2024-11-01,5020.68,Net Banking
PAY-0385,ORD-0359,2024-10-30,6934.61,Credit Card
PAY-0386,ORD-0065,2024-01-03,31921.84,Debit Card
PAY-0387,ORD-0357,2024-08-28,42991.1,Credit Card
PAY-0388,ORD-0064,2024-08-14,29473.82,Credit Card
PAY-0389,ORD-0438,2024-10-28,30220.3,UPI
PAY-0390,ORD-0219,2024-10-27,29584.8,Debit Card
PAY-0391,ORD-0121,2024-05-28,25657.92,UPI
PAY-0392,ORD-0054,2024-08-13,47563.92,Cash
PAY-0393,ORD-0265,2024-06-17,48588.73,Credit Card
PAY-0394,ORD-0057,2024-03-02,13840.8,Cash
PAY-0395,ORD-0188,2024-11-16,5372.93,Debit Card
PAY-0396,ORD-0329,2024-01-23,42844.78,Credit Card
PAY-0397,ORD-0011,2024-12-08,8274.33,Debit Card
PAY-0398,ORD-0073,2024-02-08,34836.85,Credit Card
PAY-0399,ORD-0341,2024-09-07,32264.37,UPI
PAY-0400,ORD-0098,2024-10-20,6510.59,Credit Card
PAY-0401,ORD-0029,2024-04-09,27455.84,Credit Card
PAY-0402,ORD-0290,2024-03-20,33780.87,Debit Card
PAY-0403,ORD-0005,2024-04-02,30676.73,Net Banking
PAY-0404,ORD-0143,2024-10-22,35026.17,Net Banking
PAY-0405,ORD-0392,2024-07-27,4499.13,Net Banking
PAY-0406,ORD-0069,2024-12-12,16998.77,Cash
PAY-0407,ORD-0375,2024-06-15,25905.28,Debit Card
PAY-0408,ORD-0411,2024-10-24,11810.43,Cash
PAY-0409,ORD-0312,2024-10-22,7215.37,Credit Card
PAY-0410,ORD-0452,2024-03-08,41012.13,Cash
PAY-0411,ORD-0232,2024-11-06,48908.25,Cash
PAY-0412,ORD-0071,2024-07-06,42957.79,UPI
PAY-0413,ORD-0066,2024-09-23,24840.43,Credit Card
PAY-0414,ORD-0015,2024-12-27,22799.93,Credit Card
PAY-0415,ORD-0132,2024-04-13,29553.42,Net Banking
PAY-0416,ORD-0368,2024-10-20,9125.19,Credit Card
PAY-0417,ORD-0330,2024-06-27,5418.05,Debit Card
PAY-0418,ORD-0331,2024-10-01,34441.17,Net Banking
PAY-0419,ORD-0146,2024-07-18,38889.45,Credit Card
PAY-0420,ORD-0083,2024-12-09,25972.51,Debit Card
PAY-0421,ORD-0271,2024-05-23,24351.47,UPI
PAY-0422,ORD-0320,2024-11-20,21036.78,Cash
PAY-0423,ORD-0352,2024-12-01,43549.92,Cash
PAY-0424,ORD-0292,2024-03-07,41209.66,Cash
PAY-0425,ORD-0184,2024-11-25,46085.99,Cash
PAY-0426,ORD-0332,2024-08-09,27451.06,Debit Card
PAY-0427,ORD-0032,2024-05-22,41418.24,UPI
PAY-0428,ORD-0454,2024-01-24,32313.61,UPI
PAY-0429,ORD-0239,2024-01-16,30517.12,UPI
PAY-0430,ORD-0058,2024-07-17,2491.47,Net Banking
PAY-0431,ORD-0034,2024-05-22,8713.18,UPI
PAY-0432,ORD-0135,2024-01-24,7855.47,Debit Card
PAY-0433,ORD-0302,2024-03-26,41280.84,Credit Card
PAY-0434,ORD-0311,2024-06-11,44419.34,Net Banking
PAY-0435,ORD-0445,2024-04-27,42345.98,Cash
PAY-0436,ORD-0491,2024-08-03,14520.7,Credit Card
PAY-0437,ORD-0473,2024-09-04,17374.35,UPI
PAY-0438,ORD-0052,2024-06-26,41879.95,Cash
PAY-0439,ORD-0294,2024-12-09,5863.13,Cash
PAY-0440,ORD-0416,2024-06-27,21624.82,UPI
PAY-0441,ORD-0095,2024-12-12,46419.8,UPI
PAY-0442,ORD-0395,2024-05-03,14113.29,Net Banking
PAY-0443,ORD-0278,2024-01-28,48341.76,UPI
PAY-0444,ORD-0251,2024-07-21,41997.69,UPI
PAY-0445,ORD-0354,2024-11-12,7803.93,Debit Card
PAY-0446,ORD-0457,2024-05-30,41558.31,Credit Card
PAY-0447,ORD-0417,2024-08-08,33422.84,UPI
