Order_ID,Customer_ID,Order_Date,Order_Amount,Category,Order_Status
ORD-0035,CUST-036,2024-06-28,15726.78,Clothing,Pending
ORD-0036,CUST-001,2024-11-24,37573.41,Clothing,Cancelled
ORD-0037,CUST-098,2024-09-17,28675.75,Clothing,Completed
ORD-0038,CUST-021,2024-07-23,14786.22,Electronics,Completed
ORD-0039,CUST-090,2024-12-13,6655.51,Furniture,Pending
ORD-0040,CUST-055,2024-10-01,34589.56,Electronics,Completed
ORD-0041,CUST-044,2024-06-18,35136.82,Furniture,Cancelled
ORD-0042,CUST-036,2024-01-15,47162.47,Appliances,Completed
ORD-0043,CUST-020,2024-02-29,25273.37,Clothing,Pending
ORD-0044,CUST-028,2024-05-13,24942.86,Grocery,Completed
ORD-0045,CUST-098,2024-04-01,4481.87,Appliances,Cancelled
ORD-0046,CUST-044,2024-10-24,2473.11,Appliances,Pending
ORD-0047,CUST-014,2024-05-15,21885.42,Clothing,Completed
ORD-0048,CUST-012,2024-01-20,16454.92,Electronics,Cancelled
ORD-0049,CUST-049,2024-02-25,12893.21,Electronics,Cancelled
ORD-0050,CUST-013,2024-11-01,5020.68,Grocery,Cancelled
ORD-0051,CUST-046,2024-08-10,48114.6,Grocery,Completed
ORD-0052,CUST-045,2024-06-25,41879.95,Grocery,Completed
ORD-0053,CUST-078,2024-06-09,28972.36,Electronics,Pending
ORD-0054,CUST-034,2024-08-11,47563.92,Grocery,Cancelled
ORD-0055,CUST-006,2024-11-06,49978.83,Furniture,Cancelled
ORD-0056,CUST-094,2024-09-18,33777.94,Grocery,Completed
ORD-0057,CUST-059,2024-02-29,13840.8,Grocery,Cancelled
ORD-0058,CUST-069,2024-07-16,2491.47,Furniture,Completed
ORD-0059,CUST-016,2024-10-22,37935.31,Appliances,Completed
ORD-0060,CUST-049,2024-04-07,23789.79,Furniture,Cancelled
ORD-0061,CUST-011,2024-05-10,32749.72,Grocery,Cancelled
ORD-0062,CUST-071,2024-01-23,45845.6,Grocery,Pending
ORD-0063,CUST-038,2024-12-28,9483.71,Appliances,Completed
ORD-0064,CUST-081,2024-08-11,29473.82,Grocery,Cancelled
ORD-0065,CUST-080,2024-01-01,31921.84,Electronics,Completed
ORD-0066,CUST-047,2024-09-23,24840.43,Electronics,Pending
ORD-0067,CUST-074,2024-10-02,5016.5,Furniture,Completed
ORD-0068,CUST-025,2024-12-17,17724.07,Clothing,Completed
ORD-0069,CUST-091,2024-12-09,16998.77,Clothing,Completed
ORD-0070,CUST-009,2024-04-10,33671.61,Electronics,Completed
ORD-0071,CUST-006,2024-07-05,42957.79,Furniture,Cancelled
ORD-0072,CUST-085,2024-08-08,16825.28,Clothing,Completed
ORD-0073,CUST-030,2024-02-05,34836.85,Furniture,Cancelled
ORD-0074,CUST-099,2024-12-06,14766.78,Electronics,Pending
ORD-0075,CUST-038,2024-06-18,47287.08,Appliances,Pending
ORD-0076,CUST-011,2024-11-15,40771.52,Electronics,Cancelled
ORD-0077,CUST-030,2024-06-09,27729.78,Appliances,Completed
ORD-0078,CUST-013,2024-12-05,23013.88,Appliances,Completed
ORD-0079,CUST-049,2024-03-04,16068.6,Grocery,Completed
ORD-0080,CUST-036,2024-06-02,16502.05,Furniture,Completed
ORD-0081,CUST-059,2024-09-16,48524.14,Furniture,Cancelled
ORD-0082,CUST-082,2024-06-07,20506.67,Furniture,Completed
ORD-0083,CUST-047,2024-12-07,25972.51,Grocery,Completed
ORD-0084,CUST-021,2024-07-28,49411.9,Appliances,Completed
ORD-0085,CUST-048,2024-06-16,33054.19,Furniture,Pending
ORD-0086,CUST-046,2024-07-25,27358.38,Appliances,Completed
ORD-0087,CUST-027,2024-12-22,20955.75,Grocery,Completed
ORD-0088,CUST-086,2024-05-31,9785.34,Clothing,Cancelled
ORD-0089,CUST-035,2024-10-10,18408.08,Furniture,Cancelled
ORD-0090,CUST-090,2024-03-06,37943.94,Electronics,Cancelled
ORD-0091,CUST-088,2024-04-08,31457.73,Electronics,Cancelled
ORD-0092,CUST-083,2024-08-03,38119.53,Electronics,Cancelled
ORD-0093,CUST-010,2024-12-06,10576.13,Appliances,Completed
ORD-0094,CUST-078,2024-07-13,27686.37,Clothing,Completed
ORD-0095,CUST-082,2024-12-12,46419.8,Grocery,Completed
ORD-0096,CUST-022,2024-03-30,22186.75,Furniture,Completed
ORD-0097,CUST-069,2024-11-11,35063.38,Electronics,Pending
ORD-0098,CUST-094,2024-10-18,6510.59,Clothing,Completed
ORD-0099,CUST-032,2024-06-03,48670.77,Furniture,Completed
ORD-0100,CUST-021,2024-07-26,30639.15,Furniture,Completed
ORD-0101,CUST-060,2024-10-07,12345.22,Furniture,Cancelled
ORD-0102,CUST-049,2024-01-01,8339.72,Electronics,Completed
ORD-0103,CUST-035,2024-06-04,27766.53,Clothing,Completed
ORD-0104,CUST-082,2024-05-26,27836.44,Clothing,Pending
ORD-0105,CUST-089,2024-04-17,5113.86,Furniture,Cancelled
ORD-0106,CUST-072,2024-08-08,49616.73,Clothing,Completed
ORD-0107,CUST-029,2024-10-23,45690.03,Furniture,Completed
ORD-0108,CUST-088,2024-11-06,23341.67,Grocery,Cancelled
ORD-0109,CUST-042,2024-12-01,6314.57,Grocery,Completed
ORD-0110,CUST-099,2024-06-13,41691.09,Electronics,Pending
ORD-0111,CUST-100,2024-08-26,25169.59,Electronics,Pending
ORD-0112,CUST-008,2024-08-14,35971.86,Grocery,Pending
ORD-0113,CUST-030,2024-08-14,25689.16,Clothing,Pending
ORD-0114,CUST-005,2024-12-11,14034.53,Grocery,Completed
ORD-0115,CUST-041,2024-04-19,41818.84,Grocery,Completed
ORD-0116,CUST-052,2024-09-18,49022.11,Appliances,Cancelled
ORD-0117,CUST-035,2024-08-30,12564.68,Appliances,Completed
ORD-0118,CUST-009,2024-03-27,27787.62,Clothing,Completed
ORD-0119,CUST-028,2024-12-03,19487.51,Furniture,Completed
ORD-0120,CUST-073,2024-02-13,46132.47,Electronics,Completed
ORD-0121,CUST-092,2024-05-25,25657.92,Clothing,Completed
ORD-0122,CUST-041,2024-09-20,44026.65,Appliances,Completed
ORD-0123,CUST-028,2024-12-05,43269.33,Grocery,Pending
ORD-0124,CUST-084,2024-11-20,14174.25,Clothing,Cancelled
ORD-0125,CUST-064,2024-11-13,39605.31,Furniture,Completed
ORD-0126,CUST-051,2024-06-20,21039.65,Appliances,Cancelled
ORD-0127,CUST-083,2024-02-17,46745.3,Clothing,Completed
ORD-0128,CUST-059,2024-04-30,25633.01,Clothing,Completed
ORD-0129,CUST-019,2024-12-10,41117.2,Grocery,Cancelled
ORD-0130,CUST-034,2024-06-07,14500.53,Appliances,Completed
ORD-0131,CUST-018,2024-04-25,15278.51,Grocery,Cancelled
ORD-0132,CUST-032,2024-04-11,29553.42,Appliances,Completed
ORD-0133,CUST-096,2024-03-16,49945.67,Grocery,Completed
ORD-0134,CUST-072,2024-01-13,24737.2,Grocery,Cancelled
ORD-0135,CUST-069,2024-01-24,7855.47,Furniture,Completed
ORD-0136,CUST-034,2024-05-05,27159.74,Grocery,Cancelled
ORD-0137,CUST-096,2024-08-31,17583.64,Furniture,Completed
ORD-0138,CUST-075,2024-11-08,27819.91,Clothing,Completed
ORD-0139,CUST-055,2024-02-07,27399.79,Clothing,Pending
ORD-0140,CUST-075,2024-08-21,23039.56,Electronics,Completed
ORD-0141,CUST-052,2024-07-31,16427.98,Clothing,Pending
ORD-0142,CUST-047,2024-11-18,9838.29,Appliances,Pending
ORD-0143,CUST-029,2024-10-21,35026.17,Furniture,Completed
ORD-0144,CUST-018,2024-04-09,28803.98,Clothing,Completed
ORD-0145,CUST-066,2024-12-22,12061.34,Electronics,Pending
ORD-0146,CUST-064,2024-07-15,38889.45,Electronics,Completed
ORD-0147,CUST-012,2024-09-10,2660.54,Appliances,Cancelled
ORD-0148,CUST-097,2024-07-23,37362.91,Electronics,Pending
ORD-0149,CUST-007,2024-05-04,35408.78,Grocery,Completed
ORD-0150,CUST-015,2024-03-16,40664.74,Appliances,Completed
ORD-0151,CUST-020,2024-12-01,19610.9,Appliances,Completed
ORD-0152,CUST-081,2024-12-18,33352.6,Electronics,Cancelled
ORD-0153,CUST-021,2024-01-03,41127.0,Clothing,Pending
ORD-0154,CUST-088,2024-02-24,49050.5,Grocery,Pending
ORD-0155,CUST-055,2024-08-05,25018.77,Electronics,Completed
ORD-0156,CUST-077,2024-04-22,2332.47,Clothing,Pending
ORD-0157,CUST-009,2024-03-31,25363.41,Electronics,Completed
ORD-0158,CUST-050,2024-12-22,29713.93,Appliances,Pending
ORD-0159,CUST-049,2024-09-22,43550.17,Grocery,Pending
ORD-0160,CUST-077,2024-08-25,43772.42,Appliances,Completed
ORD-0161,CUST-060,2024-01-26,22295.16,Electronics,Completed
ORD-0162,CUST-068,2024-10-12,26534.58,Furniture,Pending
ORD-0163,CUST-033,2024-05-07,23117.94,Furniture,Pending
ORD-0164,CUST-071,2024-03-03,36260.97,Grocery,Pending
ORD-0165,CUST-002,2024-08-21,20793.94,Clothing,Pending
ORD-0166,CUST-088,2024-03-09,32911.68,Furniture,Completed
ORD-0167,CUST-093,2024-08-25,8140.88,Clothing,Completed
ORD-0168,CUST-015,2024-12-07,23739.78,Grocery,Completed
ORD-0169,CUST-088,2024-09-28,48475.58,Furniture,Pending
ORD-0170,CUST-069,2024-10-13,17258.78,Furniture,Completed
ORD-0171,CUST-097,2024-10-31,34788.88,Clothing,Pending
ORD-0172,CUST-035,2024-06-11,32666.91,Appliances,Completed
ORD-0173,CUST-099,2024-08-14,42662.38,Furniture,Completed
ORD-0174,CUST-083,2024-11-09,42690.9,Appliances,Pending
ORD-0175,CUST-044,2024-09-15,43037.44,Clothing,Pending
ORD-0176,CUST-015,2024-08-06,19310.47,Appliances,Completed
ORD-0177,CUST-038,2024-10-07,16174.73,Appliances,Completed
ORD-0178,CUST-056,2024-08-16,36076.51,Furniture,Completed
ORD-0179,CUST-021,2024-03-22,38090.39,Clothing,Completed
ORD-0180,CUST-059,2024-08-31,43682.96,Clothing,Completed
ORD-0181,CUST-001,2024-08-18,2277.01,Furniture,Completed
ORD-0182,CUST-093,2024-05-12,3886.83,Appliances,Completed
ORD-0183,CUST-093,2024-05-06,31742.47,Appliances,Cancelled
ORD-0184,CUST-034,2024-11-22,46085.99,Appliances,Cancelled
ORD-0185,CUST-065,2024-05-21,49872.58,Electronics,Completed
ORD-0186,CUST-098,2024-09-23,37464.94,Clothing,Cancelled
ORD-0187,CUST-023,2024-09-05,21981.59,Grocery,Completed
ORD-0188,CUST-065,2024-11-16,5372.93,Appliances,Pending
ORD-0189,CUST-014,2024-05-02,31870.52,Furniture,Pending
ORD-0190,CUST-081,2024-05-20,43692.67,Electronics,Pending
ORD-0191,CUST-039,2024-08-13,22462.09,Appliances,Completed
ORD-0192,CUST-082,2024-02-09,34853.06,Appliances,Completed
ORD-0193,CUST-065,2024-05-26,45219.49,Clothing,Cancelled
ORD-0194,CUST-078,2024-04-30,2776.55,Grocery,Completed
ORD-0195,CUST-026,2024-05-19,39909.1,Clothing,Completed
ORD-0196,CUST-020,2024-06-20,15021.7,Appliances,Completed
ORD-0197,CUST-048,2024-06-12,19054.63,Electronics,Completed
ORD-0198,CUST-098,2024-10-03,7705.7,Furniture,Completed
ORD-0199,CUST-021,2024-02-11,26792.73,Appliances,Completed
ORD-0200,CUST-070,2024-03-11,28513.44,Clothing,Cancelled
ORD-0201,CUST-100,2024-03-18,39729.71,Furniture,Pending
ORD-0202,CUST-068,2024-04-28,8914.19,Clothing,Completed
ORD-0203,CUST-001,2024-07-15,4408.93,Electronics,Cancelled
ORD-0204,CUST-077,2024-12-21,43606.56,Electronics,Completed
ORD-0205,CUST-042,2024-03-19,31175.66,Furniture,Cancelled
ORD-0206,CUST-063,2024-12-27,12421.07,Clothing,Cancelled
ORD-0207,CUST-003,2024-04-19,45685.04,Appliances,Completed
ORD-0208,CUST-015,2024-02-02,7584.33,Clothing,Completed
ORD-0209,CUST-047,2024-07-31,23326.92,Electronics,Completed
ORD-0210,CUST-040,2024-07-27,13071.88,Appliances,Completed
ORD-0211,CUST-031,2024-06-18,13138.67,Appliances,Completed
ORD-0212,CUST-008,2024-10-04,965.17,Grocery,Pending
ORD-0213,CUST-031,2024-08-26,40329.34,Grocery,Cancelled
ORD-0214,CUST-073,2024-07-31,45109.87,Electronics,Completed
ORD-0215,CUST-011,2024-02-01,34041.74,Clothing,Completed
ORD-0216,CUST-011,2024-04-15,8319.79,Appliances,Pending
ORD-0217,CUST-094,2024-08-03,22365.62,Grocery,Completed
ORD-0218,CUST-063,2024-07-18,17605.5,Electronics,Cancelled
ORD-0219,CUST-009,2024-10-26,29584.8,Grocery,Completed
ORD-0220,CUST-098,2024-12-22,32127.47,Furniture,Completed
ORD-0221,CUST-069,2024-01-11,21503.29,Electronics,Completed
ORD-0222,CUST-099,2024-10-21,12879.86,Electronics,Cancelled
ORD-0223,CUST-017,2024-07-13,42342.54,Clothing,Cancelled
ORD-0224,CUST-017,2024-09-01,10361.24,Appliances,Completed
ORD-0225,CUST-085,2024-01-04,19542.32,Furniture,Completed
ORD-0226,CUST-061,2024-06-29,24418.8,Grocery,Completed
ORD-0227,CUST-071,2024-06-01,12241.68,Furniture,Completed
ORD-0228,CUST-022,2024-07-18,28810.17,Electronics,Cancelled
ORD-0229,CUST-034,2024-08-02,28953.19,Clothing,Completed
ORD-0230,CUST-068,2024-10-02,49638.26,Clothing,Completed
ORD-0231,CUST-078,2024-10-06,15113.92,Electronics,Cancelled
ORD-0232,CUST-055,2024-11-04,48908.25,Furniture,Pending
ORD-0233,CUST-028,2024-04-22,33082.38,Grocery,Completed
ORD-0234,CUST-070,2024-09-06,14086.78,Furniture,Completed
ORD-0235,CUST-097,2024-04-22,28513.49,Electronics,Cancelled
ORD-0236,CUST-094,2024-05-19,34447.07,Appliances,Completed
ORD-0237,CUST-089,2024-08-11,37361.11,Furniture,Completed
ORD-0238,CUST-026,2024-09-05,2927.69,Electronics,Completed
ORD-0239,CUST-092,2024-01-15,30517.12,Furniture,Completed
ORD-0240,CUST-040,2024-07-18,25088.0,Clothing,Completed
ORD-0241,CUST-052,2024-06-21,45255.69,Electronics,Completed
ORD-0242,CUST-086,2024-12-08,14666.61,Furniture,Completed
ORD-0243,CUST-084,2024-12-13,40043.58,Grocery,Completed
ORD-0244,CUST-048,2024-07-26,30549.72,Clothing,Completed
ORD-0245,CUST-057,2024-03-25,17939.89,Furniture,Completed
ORD-0246,CUST-067,2024-08-27,32012.58,Grocery,Completed
ORD-0247,CUST-058,2024-03-06,31234.11,Electronics,Completed
ORD-0248,CUST-016,2024-11-14,34049.34,Appliances,Completed
ORD-0249,CUST-032,2024-09-30,36185.95,Electronics,Completed
ORD-0250,CUST-029,2024-01-14,33129.49,Furniture,Pending
ORD-0251,CUST-009,2024-07-20,41997.69,Furniture,Completed
ORD-0252,CUST-044,2024-10-30,31598.28,Appliances,Completed
ORD-0253,CUST-003,2024-10-15,45218.48,Furniture,Completed
ORD-0254,CUST-076,2024-12-05,32493.86,Clothing,Completed
ORD-0255,CUST-071,2024-01-14,15792.18,Furniture,Completed
ORD-0256,CUST-030,2024-02-12,22320.75,Grocery,Pending
ORD-0257,CUST-076,2024-11-25,29188.9,Appliances,Cancelled
ORD-0258,CUST-029,2024-08-07,36751.81,Clothing,Completed
ORD-0259,CUST-001,2024-03-10,4961.6,Electronics,Pending
ORD-0260,CUST-010,2024-08-24,15107.97,Grocery,Cancelled
ORD-0261,CUST-091,2024-04-03,37500.3,Clothing,Completed
ORD-0262,CUST-081,2024-01-26,9194.18,Grocery,Completed
ORD-0263,CUST-008,2024-05-13,7041.91,Grocery,Completed
ORD-0264,CUST-030,2024-07-13,27200.68,Grocery,Completed
ORD-0265,CUST-009,2024-06-16,48588.73,Grocery,Pending
ORD-0266,CUST-005,2024-04-18,26777.19,Clothing,Pending
ORD-0267,CUST-043,2024-08-20,45717.61,Electronics,Completed
ORD-0268,CUST-010,2024-06-16,41608.39,Furniture,Pending
ORD-0269,CUST-066,2024-06-21,13220.02,Appliances,Completed
ORD-0270,CUST-031,2024-07-13,41322.15,Electronics,Completed
ORD-0271,CUST-036,2024-05-22,24351.47,Grocery,Cancelled
ORD-0272,CUST-086,2024-08-03,40421.18,Furniture,Cancelled
ORD-0273,CUST-063,2024-05-09,37454.69,Grocery,Pending
ORD-0274,CUST-028,2024-02-11,17266.41,Grocery,Cancelled
ORD-0275,CUST-070,2024-08-28,6200.9,Appliances,Completed
ORD-0276,CUST-017,2024-01-10,48163.22,Electronics,Pending
ORD-0277,CUST-093,2024-10-03,7467.47,Grocery,Completed
ORD-0278,CUST-074,2024-01-27,48341.76,Furniture,Pending
ORD-0279,CUST-074,2024-06-28,43076.96,Clothing,Pending
ORD-0280,CUST-061,2024-04-24,36348.73,Electronics,Completed
ORD-0281,CUST-032,2024-11-28,49007.14,Electronics,Cancelled
ORD-0282,CUST-061,2024-02-05,48379.85,Electronics,Cancelled
ORD-0283,CUST-053,2024-11-29,40327.09,Appliances,Completed
ORD-0284,CUST-025,2024-01-21,18605.86,Furniture,Cancelled
ORD-0285,CUST-013,2024-01-16,39638.76,Appliances,Completed
ORD-0286,CUST-013,2024-05-06,1188.97,Furniture,Completed
ORD-0287,CUST-085,2024-04-12,27060.33,Clothing,Completed
ORD-0288,CUST-056,2024-01-11,23011.91,Grocery,Completed
ORD-0289,CUST-046,2024-11-14,33805.0,Electronics,Cancelled
ORD-0290,CUST-055,2024-03-19,33780.87,Clothing,Completed
ORD-0291,CUST-053,2024-05-02,29435.72,Grocery,Completed
ORD-0292,CUST-060,2024-03-05,41209.66,Appliances,Completed
ORD-0293,CUST-094,2024-08-30,47044.45,Clothing,Completed
ORD-0294,CUST-007,2024-12-08,5863.13,Electronics,Cancelled
ORD-0295,CUST-087,2024-02-28,12074.18,Clothing,Completed
ORD-0296,CUST-084,2024-10-15,1738.72,Appliances,Completed
ORD-0297,CUST-083,2024-04-21,44269.62,Grocery,Pending
ORD-0298,CUST-013,2024-08-26,28289.67,Appliances,Completed
ORD-0299,CUST-008,2024-12-24,45805.17,Clothing,Completed
ORD-0300,CUST-052,2024-05-11,11457.68,Appliances,Completed
ORD-0301,CUST-094,2024-07-07,3629.24,Furniture,Pending
ORD-0302,CUST-044,2024-03-26,41280.84,Furniture,Cancelled
ORD-0303,CUST-014,2024-11-06,45514.69,Appliances,Completed
ORD-0304,CUST-032,2024-11-06,15458.41,Furniture,Pending
ORD-0305,CUST-025,2024-02-28,20710.64,Appliances,Completed
ORD-0306,CUST-025,2024-03-24,7418.96,Grocery,Cancelled
ORD-0307,CUST-069,2024-06-08,47339.95,Electronics,Pending
ORD-0308,CUST-058,2024-02-25,15566.05,Grocery,Completed
ORD-0309,CUST-018,2024-10-23,24884.92,Appliances,Completed
ORD-0310,CUST-055,2024-01-14,5311.0,Furniture,Completed
ORD-0311,CUST-024,2024-06-08,44419.34,Clothing,Completed
ORD-0312,CUST-036,2024-10-21,7215.37,Electronics,Completed
ORD-0313,CUST-060,2024-12-12,22955.37,Grocery,Cancelled
ORD-0314,CUST-032,2024-07-11,33689.07,Clothing,Completed
ORD-0315,CUST-010,2024-07-22,37285.44,Grocery,Cancelled
ORD-0316,CUST-057,2024-04-11,47325.72,Furniture,Completed
ORD-0317,CUST-071,2024-02-08,21246.77,Grocery,Completed
ORD-0318,CUST-013,2024-10-30,37242.32,Clothing,Completed
ORD-0319,CUST-007,2024-12-19,8148.88,Electronics,Pending
ORD-0320,CUST-084,2024-11-17,21036.78,Appliances,Completed
ORD-0321,CUST-070,2024-05-04,5401.57,Clothing,Completed
ORD-0322,CUST-002,2024-02-22,24722.68,Appliances,Completed
ORD-0323,CUST-012,2024-12-22,20701.74,Clothing,Pending
ORD-0324,CUST-097,2024-06-03,47600.32,Appliances,Cancelled
ORD-0325,CUST-031,2024-12-16,2119.46,Appliances,Completed
ORD-0326,CUST-022,2024-11-03,18841.23,Electronics,Completed
ORD-0327,CUST-053,2024-03-02,22447.46,Grocery,Cancelled
ORD-0328,CUST-063,2024-10-16,47552.48,Clothing,Completed
ORD-0329,CUST-062,2024-01-22,42844.78,Appliances,Completed
ORD-0330,CUST-028,2024-06-26,5418.05,Grocery,Completed
ORD-0331,CUST-052,2024-09-29,34441.17,Appliances,Cancelled
ORD-0332,CUST-008,2024-08-07,27451.06,Electronics,Completed
ORD-0333,CUST-022,2024-12-04,48903.21,Grocery,Completed
ORD-0334,CUST-049,2024-07-08,18254.36,Grocery,Completed
ORD-0335,CUST-001,2024-02-05,20207.91,Electronics,Pending
ORD-0336,CUST-050,2024-09-16,9895.52,Electronics,Pending
ORD-0337,CUST-034,2024-11-27,6546.91,Grocery,Pending
ORD-0338,CUST-059,2024-06-23,42477.64,Clothing,Cancelled
ORD-0339,CUST-037,2024-01-07,23008.51,Clothing,Completed
ORD-0340,CUST-055,2024-08-03,33307.05,Furniture,Completed
ORD-0341,CUST-090,2024-09-07,32264.37,Grocery,Pending
ORD-0342,CUST-094,2024-02-24,30058.72,Grocery,Pending
ORD-0343,CUST-072,2024-08-09,1557.19,Appliances,Cancelled
ORD-0344,CUST-085,2024-07-04,39446.33,Clothing,Cancelled
ORD-0345,CUST-092,2024-11-21,12556.66,Grocery,Completed
ORD-0346,CUST-063,2024-08-23,6733.23,Furniture,Completed
ORD-0347,CUST-020,2024-12-28,28446.61,Furniture,Completed
ORD-0348,CUST-025,2024-03-19,3896.2,Clothing,Completed
ORD-0349,CUST-038,2024-08-10,38375.29,Grocery,Cancelled
ORD-0350,CUST-028,2024-03-31,10754.29,Clothing,Completed
ORD-0351,CUST-008,2024-09-24,11189.59,Electronics,Pending
ORD-0352,CUST-075,2024-11-29,43549.92,Grocery,Completed
ORD-0353,CUST-095,2024-05-18,16763.7,Furniture,Cancelled
ORD-0354,CUST-070,2024-11-11,7803.93,Clothing,Pending
ORD-0355,CUST-008,2024-10-02,45076.29,Furniture,Pending
ORD-0356,CUST-096,2024-09-04,640.36,Clothing,Completed
ORD-0357,CUST-041,2024-08-26,42991.1,Clothing,Pending
ORD-0358,CUST-008,2024-08-11,7662.06,Furniture,Completed
ORD-0359,CUST-007,2024-10-30,6934.61,Appliances,Completed
ORD-0360,CUST-075,2024-05-17,12907.38,Clothing,Completed
ORD-0361,CUST-062,2024-06-14,9137.61,Appliances,Completed
ORD-0362,CUST-065,2024-05-05,33222.35,Furniture,Cancelled
ORD-0363,CUST-068,2024-02-14,1776.12,Electronics,Pending
ORD-0364,CUST-021,2024-05-22,1235.59,Appliances,Pending
ORD-0365,CUST-008,2024-08-18,39604.24,Furniture,Completed
ORD-0366,CUST-066,2024-05-04,12277.61,Appliances,Cancelled
ORD-0367,CUST-011,2024-08-25,16526.69,Furniture,Completed
ORD-0368,CUST-024,2024-10-18,9125.19,Electronics,Completed
ORD-0369,CUST-009,2024-11-08,3093.75,Grocery,Cancelled
ORD-0370,CUST-077,2024-12-08,37215.04,Appliances,Cancelled
ORD-0371,CUST-009,2024-07-13,26541.23,Clothing,Pending
ORD-0372,CUST-087,2024-06-21,37410.43,Clothing,Completed
ORD-0373,CUST-031,2024-01-15,24074.18,Electronics,Cancelled
ORD-0374,CUST-052,2024-09-10,39011.84,Furniture,Cancelled
ORD-0375,CUST-016,2024-06-15,25905.28,Appliances,Completed
ORD-0376,CUST-073,2024-04-03,5898.17,Appliances,Completed
ORD-0377,CUST-032,2024-09-06,25440.02,Grocery,Pending
ORD-0378,CUST-075,2024-04-18,47298.07,Appliances,Completed
ORD-0379,CUST-077,2024-06-30,2646.57,Grocery,Pending
ORD-0380,CUST-006,2024-05-12,39269.74,Grocery,Completed
ORD-0381,CUST-080,2024-06-23,43415.55,Furniture,Pending
ORD-0382,CUST-011,2024-05-23,26311.84,Electronics,Pending
ORD-0383,CUST-054,2024-11-01,23173.1,Clothing,Completed
ORD-0384,CUST-085,2024-12-25,48219.3,Electronics,Pending
ORD-0385,CUST-075,2024-05-21,3510.86,Grocery,Completed
ORD-0386,CUST-073,2024-10-11,24209.6,Electronics,Completed
ORD-0387,CUST-067,2024-01-06,20380.05,Furniture,Cancelled
ORD-0388,CUST-041,2024-09-21,34461.83,Clothing,Completed
ORD-0389,CUST-034,2024-04-07,24768.31,Appliances,Pending
ORD-0390,CUST-027,2024-02-13,45530.19,Furniture,Completed
ORD-0391,CUST-086,2024-05-03,4137.79,Grocery,Cancelled
ORD-0392,CUST-092,2024-07-27,4499.13,Electronics,Completed
ORD-0393,CUST-041,2024-09-07,30610.72,Clothing,Completed
ORD-0394,CUST-031,2024-10-11,3751.27,Appliances,Completed
ORD-0395,CUST-034,2024-05-03,14113.29,Grocery,Completed
ORD-0396,CUST-051,2024-12-19,31837.3,Furniture,Completed
ORD-0397,CUST-017,2024-08-31,27643.64,Grocery,Completed
ORD-0398,CUST-086,2024-11-26,16596.68,Appliances,Completed
ORD-0399,CUST-083,2024-12-30,49734.07,Electronics,Pending
ORD-0400,CUST-039,2024-09-08,26762.56,Appliances,Completed
ORD-0401,CUST-059,2024-08-17,22958.91,Grocery,Pending
ORD-0402,CUST-041,2024-01-09,30468.63,Furniture,Pending
ORD-0403,CUST-097,2024-02-17,5409.33,Grocery,Completed
ORD-0404,CUST-010,2024-05-30,35238.08,Clothing,Completed
