Shipment_ID,Order_ID,Shipment_Date,Expected_Delivery,Shipment_Status
SHP-0153,ORD-0162,2024-10-14,2024-10-17,Delivered
SHP-0154,ORD-0361,2024-06-15,2024-06-22,Returned
SHP-0155,ORD-0499,2024-08-16,2024-08-22,Delivered
SHP-0156,ORD-0055,2024-11-09,2024-11-16,In Transit
SHP-0157,ORD-0080,2024-06-05,2024-06-11,Delivered
SHP-0158,ORD-0219,2024-10-29,2024-11-04,Delivered
SHP-0159,ORD-0334,2024-07-09,2024-07-14,In Transit
SHP-0160,ORD-0300,2024-05-14,2024-05-20,Delivered
SHP-0161,ORD-0130,2024-06-09,2024-06-11,Returned
SHP-0162,ORD-0134,2024-01-14,2024-01-18,Delivered
SHP-0163,ORD-0275,2024-08-30,2024-09-03,Delivered
SHP-0164,ORD-0217,2024-08-05,2024-08-07,In Transit
SHP-0165,ORD-0290,2024-03-21,2024-03-27,Delivered
SHP-0166,ORD-0188,2024-11-17,2024-11-21,Returned
SHP-0167,ORD-0314,2024-07-13,2024-07-16,Returned
SHP-0168,ORD-0142,2024-11-19,2024-11-26,Delivered
SHP-0169,ORD-0204,2024-12-23,2024-12-27,Delivered
SHP-0170,ORD-0105,2024-04-20,2024-04-25,In Transit
SHP-0171,ORD-0212,2024-10-07,2024-10-10,Delivered
SHP-0172,ORD-0283,2024-12-02,2024-12-05,Delivered
SHP-0173,ORD-0286,2024-05-09,2024-05-11,Delivered
SHP-0174,ORD-0248,2024-11-15,2024-11-21,Delivered
SHP-0175,ORD-0092,2024-08-06,2024-08-13,In Transit
SHP-0176,ORD-0383,2024-11-04,2024-11-06,Delivered
SHP-0177,ORD-0287,2024-04-14,2024-04-21,Delivered
SHP-0178,ORD-0285,2024-01-19,2024-01-25,In Transit
SHP-0179,ORD-0455,2024-01-31,2024-02-04,Delivered
SHP-0180,ORD-0340,2024-08-05,2024-08-11,Delivered
SHP-0181,ORD-0158,2024-12-24,2024-12-28,Delivered
SHP-0182,ORD-0356,2024-09-07,2024-09-13,Delivered
SHP-0183,ORD-0177,2024-10-10,2024-10-14,Delivered
SHP-0184,ORD-0480,2024-11-19,2024-11-25,Delivered
SHP-0185,ORD-0071,2024-07-08,2024-07-13,In Transit
SHP-0186,ORD-0354,2024-11-14,2024-11-21,Returned
SHP-0187,ORD-0378,2024-04-21,2024-04-26,Returned
SHP-0188,ORD-0229,2024-08-04,2024-08-07,In Transit
SHP-0189,ORD-0471,2024-01-30,2024-02-02,Delivered
SHP-0190,ORD-0052,2024-06-28,2024-07-02,In Transit
SHP-0191,ORD-0110,2024-06-14,2024-06-16,In Transit
SHP-0192,ORD-0261,2024-04-04,2024-04-06,In Transit
SHP-0193,ORD-0206,2024-12-29,2025-01-05,Delivered
SHP-0194,ORD-0174,2024-11-10,2024-11-17,Delivered
SHP-0195,ORD-0282,2024-02-06,2024-02-12,Returned
SHP-0196,ORD-0027,2024-01-15,2024-01-20,In Transit
SHP-0197,ORD-0312,2024-10-22,2024-10-26,In Transit
SHP-0198,ORD-0200,2024-03-13,2024-03-19,Returned
SHP-0199,ORD-0381,2024-06-26,2024-06-29,Delivered
SHP-0200,ORD-0047,2024-05-16,2024-05-23,Delivered
SHP-0201,ORD-0075,2024-06-19,2024-06-26,In Transit
SHP-0202,ORD-0443,2024-04-11,2024-04-15,Delivered
SHP-0203,ORD-0223,2024-07-14,2024-07-18,Delivered
SHP-0204,ORD-0046,2024-10-26,2024-11-01,Returned
SHP-0205,ORD-0033,2024-02-08,2024-02-12,Delivered
SHP-0206,ORD-0135,2024-01-25,2024-01-27,Delivered
SHP-0207,ORD-0114,2024-12-14,2024-12-18,Delivered
SHP-0208,ORD-0325,2024-12-18,2024-12-23,In Transit
SHP-0209,ORD-0041,2024-06-21,2024-06-27,Delivered
SHP-0210,ORD-0400,2024-09-11,2024-09-13,Delivered
SHP-0211,ORD-0197,2024-06-13,2024-06-16,Delivered
SHP-0212,ORD-0401,2024-08-19,2024-08-23,In Transit
SHP-0213,ORD-0353,2024-05-21,2024-05-26,Delivered
SHP-0214,ORD-0147,2024-09-12,2024-09-14,Returned
SHP-0215,ORD-0030,2024-07-26,2024-07-29,Returned
SHP-0216,ORD-0090,2024-03-08,2024-03-11,Delivered
SHP-0217,ORD-0254,2024-12-08,2024-12-13,Delivered
SHP-0218,ORD-0225,2024-01-07,2024-01-11,Delivered
SHP-0219,ORD-0006,2024-08-01,2024-08-06,Delivered
SHP-0220,ORD-0412,2024-07-10,2024-07-12,Delivered
SHP-0221,ORD-0266,2024-04-21,2024-04-25,Delivered
SHP-0222,ORD-0324,2024-06-06,2024-06-13,Delivered
SHP-0223,ORD-0100,2024-07-29,2024-08-02,In Transit
SHP-0224,ORD-0018,2024-01-23,2024-01-29,Delivered
SHP-0225,ORD-0428,2024-04-09,2024-04-12,Delivered
SHP-0226,ORD-0459,2024-03-08,2024-03-15,Delivered
SHP-0227,ORD-0119,2024-12-05,2024-12-09,Returned
SHP-0228,ORD-0087,2024-12-23,2024-12-26,In Transit
SHP-0229,ORD-0019,2024-08-30,2024-09-01,Delivered
SHP-0230,ORD-0185,2024-05-23,2024-05-28,In Transit
SHP-0231,ORD-0123,2024-12-08,2024-12-14,In Transit
SHP-0232,ORD-0389,2024-04-08,2024-04-14,Delivered
SHP-0233,ORD-0500,2024-06-04,2024-06-09,Delivered
SHP-0234,ORD-0045,2024-04-02,2024-04-08,Delivered
SHP-0235,ORD-0387,2024-01-07,2024-01-11,Delivered
SHP-0236,ORD-0205,2024-03-22,2024-03-26,Delivered
SHP-0237,ORD-0181,2024-08-21,2024-08-23,In Transit
SHP-0238,ORD-0203,2024-07-17,2024-07-22,Delivered
SHP-0239,ORD-0458,2024-12-24,2024-12-29,In Transit
SHP-0240,ORD-0103,2024-06-05,2024-06-09,Delivered
SHP-0241,ORD-0008,2024-04-03,2024-04-07,Delivered
SHP-0242,ORD-0496,2024-09-25,2024-10-01,Delivered
SHP-0243,ORD-0301,2024-07-09,2024-07-12,Returned
SHP-0244,ORD-0364,2024-05-23,2024-05-27,Delivered
SHP-0245,ORD-0179,2024-03-23,2024-03-26,Returned
SHP-0246,ORD-0089,2024-10-11,2024-10-16,Delivered
SHP-0247,ORD-0377,2024-09-09,2024-09-11,Delivered
SHP-0248,ORD-0209,2024-08-02,2024-08-08,Delivered
SHP-0249,ORD-0316,2024-04-12,2024-04-15,Delivered
SHP-0250,ORD-0058,2024-07-18,2024-07-23,Returned
SHP-0251,ORD-0156,2024-04-25,2024-05-01,In Transit
SHP-0252,ORD-0284,2024-01-23,2024-01-27,Delivered
SHP-0253,ORD-0405,2024-04-24,2024-04-26,In Transit
SHP-0254,ORD-0117,2024-09-02,2024-09-09,Delivered
SHP-0255,ORD-0239,2024-01-16,2024-01-19,Delivered
SHP-0256,ORD-0281,2024-12-01,2024-12-03,In Transit
SHP-0257,ORD-0148,2024-07-25,2024-07-30,Delivered
SHP-0258,ORD-0002,2024-03-23,2024-03-29,Returned
SHP-0259,ORD-0392,2024-07-28,2024-07-30,Delivered
SHP-0260,ORD-0288,2024-01-13,2024-01-15,Delivered
SHP-0261,ORD-0331,2024-10-02,2024-10-08,Returned
SHP-0262,ORD-0321,2024-05-05,2024-05-09,Delivered
SHP-0263,ORD-0028,2024-12-05,2024-12-07,Returned
SHP-0264,ORD-0144,2024-04-10,2024-04-16,Delivered
SHP-0265,ORD-0380,2024-05-15,2024-05-22,Delivered
SHP-0266,ORD-0129,2024-12-12,2024-12-14,Returned
SHP-0267,ORD-0464,2024-10-23,2024-10-27,Delivered
SHP-0268,ORD-0441,2024-05-27,2024-05-30,Delivered
SHP-0269,ORD-0328,2024-10-18,2024-10-21,In Transit
SHP-0270,ORD-0456,2024-10-11,2024-10-15,Returned
SHP-0271,ORD-0360,2024-05-19,2024-05-25,Delivered
SHP-0272,ORD-0474,2024-03-01,2024-03-06,Delivered
SHP-0273,ORD-0329,2024-01-25,2024-01-27,Delivered
SHP-0274,ORD-0138,2024-11-10,2024-11-13,Delivered
SHP-0275,ORD-0253,2024-10-16,2024-10-20,Returned
SHP-0276,ORD-0317,2024-02-09,2024-02-11,Returned
SHP-0277,ORD-0403,2024-02-20,2024-02-26,Delivered
SHP-0278,ORD-0065,2024-01-04,2024-01-06,In Transit
SHP-0279,ORD-0178,2024-08-17,2024-08-23,Delivered
SHP-0280,ORD-0465,2024-05-27,2024-06-02,Delivered
SHP-0281,ORD-0359,2024-11-01,2024-11-05,Delivered
SHP-0282,ORD-0145,2024-12-23,2024-12-30,Delivered
SHP-0283,ORD-0124,2024-11-22,2024-11-28,In Transit
SHP-0284,ORD-0491,2024-08-02,2024-08-05,Delivered
SHP-0285,ORD-0063,2024-12-29,2025-01-02,In Transit
SHP-0286,ORD-0417,2024-08-08,2024-08-12,Delivered
SHP-0287,ORD-0399,2025-01-02,2025-01-07,Delivered
SHP-0288,ORD-0199,2024-02-12,2024-02-15,In Transit
SHP-0289,ORD-0342,2024-02-25,2024-03-01,Delivered
SHP-0290,ORD-0175,2024-09-18,2024-09-20,Delivered
SHP-0291,ORD-0330,2024-06-27,2024-07-02,In Transit
SHP-0292,ORD-0151,2024-12-02,2024-12-04,Returned
SHP-0293,ORD-0260,2024-08-26,2024-08-31,Delivered
SHP-0294,ORD-0370,2024-12-09,2024-12-16,Delivered
SHP-0295,ORD-0232,2024-11-07,2024-11-13,Delivered
SHP-0296,ORD-0434,2024-04-11,2024-04-18,Delivered
SHP-0297,ORD-0390,2024-02-16,2024-02-21,Delivered
SHP-0298,ORD-0098,2024-10-21,2024-10-25,Returned
SHP-0299,ORD-0163,2024-05-09,2024-05-13,Delivered
SHP-0300,ORD-0057,2024-03-01,2024-03-08,Delivered
SHP-0301,ORD-0363,2024-02-17,2024-02-23,Delivered
SHP-0302,ORD-0375,2024-06-16,2024-06-21,Returned
SHP-0303,ORD-0488,2024-05-10,2024-05-13,Delivered
SHP-0304,ORD-0355,2024-10-03,2024-10-10,Delivered
SHP-0305,ORD-0349,2024-08-12,2024-08-14,In Transit
SHP-0306,ORD-0404,2024-06-01,2024-06-05,Delivered
SHP-0307,ORD-0461,2024-09-11,2024-09-18,In Transit
SHP-0308,ORD-0227,2024-06-04,2024-06-09,In Transit
SHP-0309,ORD-0374,2024-09-12,2024-09-15,Delivered
SHP-0310,ORD-0492,2024-11-07,2024-11-10,Delivered
SHP-0311,ORD-0415,2024-10-01,2024-10-05,In Transit
SHP-0312,ORD-0064,2024-08-13,2024-08-18,Returned
SHP-0313,ORD-0436,2024-09-05,2024-09-12,Delivered
SHP-0314,ORD-0024,2024-06-08,2024-06-12,Returned
SHP-0315,ORD-0391,2024-05-05,2024-05-10,Delivered
SHP-0316,ORD-0173,2024-08-16,2024-08-18,Delivered
SHP-0317,ORD-0422,2024-08-21,2024-08-26,In Transit
SHP-0318,ORD-0291,2024-05-03,2024-05-07,Returned
SHP-0319,ORD-0280,2024-04-26,2024-05-01,Delivered
SHP-0320,ORD-0297,2024-04-22,2024-04-26,Delivered
SHP-0321,ORD-0122,2024-09-22,2024-09-28,Returned
SHP-0322,ORD-0350,2024-04-03,2024-04-06,Delivered
SHP-0323,ORD-0195,2024-05-22,2024-05-24,Delivered
SHP-0324,ORD-0414,2024-10-12,2024-10-19,Delivered
SHP-0325,ORD-0362,2024-05-06,2024-05-10,Returned
SHP-0326,ORD-0452,2024-03-08,2024-03-15,Delivered
SHP-0327,ORD-0398,2024-11-27,2024-12-01,Returned
SHP-0328,ORD-0049,2024-02-28,2024-03-04,In Transit
SHP-0329,ORD-0128,2024-05-02,2024-05-08,Delivered
SHP-0330,ORD-0406,2024-07-28,2024-07-31,Delivered
SHP-0331,ORD-0402,2024-01-12,2024-01-15,Delivered
SHP-0332,ORD-0062,2024-01-26,2024-01-29,Returned
SHP-0333,ORD-0293,2024-09-01,2024-09-06,Delivered
SHP-0334,ORD-0053,2024-06-10,2024-06-14,Delivered
SHP-0335,ORD-0337,2024-11-28,2024-12-05,Delivered
SHP-0336,ORD-0171,2024-11-03,2024-11-08,Delivered
SHP-0337,ORD-0189,2024-05-04,2024-05-10,Delivered
SHP-0338,ORD-0159,2024-09-24,2024-09-30,Delivered
SHP-0339,ORD-0326,2024-11-06,2024-11-09,Delivered
SHP-0340,ORD-0040,2024-10-02,2024-10-09,Returned
SHP-0341,ORD-0238,2024-09-08,2024-09-10,Delivered
SHP-0342,ORD-0031,2024-06-20,2024-06-27,Delivered
SHP-0343,ORD-0467,2024-09-05,2024-09-10,Returned
SHP-0344,ORD-0127,2024-02-18,2024-02-24,In Transit
SHP-0345,ORD-0243,2024-12-16,2024-12-21,In Transit
SHP-0346,ORD-0139,2024-02-09,2024-02-15,In Transit
SHP-0347,ORD-0011,2024-12-09,2024-12-14,Delivered
SHP-0348,ORD-0207,2024-04-20,2024-04-24,Returned
SHP-0349,ORD-0096,2024-04-01,2024-04-03,In Transit
SHP-0350,ORD-0256,2024-02-15,2024-02-17,Delivered
SHP-0351,ORD-0157,2024-04-03,2024-04-09,Returned
SHP-0352,ORD-0224,2024-09-03,2024-09-07,Delivered
SHP-0353,ORD-0252,2024-11-01,2024-11-08,Delivered
SHP-0354,ORD-0126,2024-06-23,2024-06-25,In Transit
SHP-0355,ORD-0420,2024-06-30,2024-07-03,Delivered
SHP-0356,ORD-0497,2024-07-14,2024-07-20,Delivered
SHP-0357,ORD-0072,2024-08-11,2024-08-13,Delivered
SHP-0358,ORD-0102,2024-01-02,2024-01-09,In Transit
SHP-0359,ORD-0201,2024-03-19,2024-03-24,Delivered
SHP-0360,ORD-0319,2024-12-22,2024-12-26,Returned
SHP-0361,ORD-0014,2024-03-24,2024-03-30,Delivered
SHP-0362,ORD-0372,2024-06-24,2024-06-29,Returned
SHP-0363,ORD-0109,2024-12-02,2024-12-05,Returned
SHP-0364,ORD-0270,2024-07-16,2024-07-20,Delivered
SHP-0365,ORD-0413,2024-09-01,2024-09-07,In Transit
SHP-0366,ORD-0235,2024-04-25,2024-04-29,In Transit
SHP-0367,ORD-0255,2024-01-16,2024-01-23,Delivered
SHP-0368,ORD-0101,2024-10-09,2024-10-11,In Transit
SHP-0369,ORD-0241,2024-06-24,2024-06-26,Delivered
SHP-0370,ORD-0347,2024-12-31,2025-01-06,Delivered
SHP-0371,ORD-0202,2024-04-30,2024-05-03,Delivered
SHP-0372,ORD-0343,2024-08-11,2024-08-13,Delivered
SHP-0373,ORD-0226,2024-07-01,2024-07-07,Delivered
SHP-0374,ORD-0453,2024-05-21,2024-05-23,Delivered
SHP-0375,ORD-0250,2024-01-17,2024-01-23,Delivered
SHP-0376,ORD-0423,2024-05-20,2024-05-22,Delivered
SHP-0377,ORD-0214,2024-08-02,2024-08-04,In Transit
SHP-0378,ORD-0305,2024-02-29,2024-03-05,Delivered
SHP-0379,ORD-0271,2024-05-25,2024-05-31,Delivered
SHP-0380,ORD-0341,2024-09-09,2024-09-16,Delivered
SHP-0381,ORD-0013,2024-05-18,2024-05-25,Delivered
SHP-0382,ORD-0042,2024-01-17,2024-01-22,Delivered
SHP-0383,ORD-0257,2024-11-27,2024-12-02,Delivered
SHP-0384,ORD-0079,2024-03-07,2024-03-10,Delivered
SHP-0385,ORD-0446,2024-07-06,2024-07-09,Delivered
SHP-0386,ORD-0034,2024-05-24,2024-05-27,Delivered
SHP-0387,ORD-0187,2024-09-06,2024-09-12,Delivered
SHP-0388,ORD-0149,2024-05-06,2024-05-10,Delivered
SHP-0389,ORD-0115,2024-04-21,2024-04-24,Delivered
SHP-0390,ORD-0484,2024-03-19,2024-03-26,Delivered
SHP-0391,ORD-0035,2024-06-29,2024-07-02,Delivered
SHP-0392,ORD-0490,2024-10-13,2024-10-15,In Transit
SHP-0393,ORD-0249,2024-10-03,2024-10-05,Delivered
SHP-0394,ORD-0447,2024-04-02,2024-04-09,Delivered
SHP-0395,ORD-0155,2024-08-07,2024-08-14,Delivered
SHP-0396,ORD-0397,2024-09-02,2024-09-05,Delivered
SHP-0397,ORD-0164,2024-03-04,2024-03-07,In Transit
SHP-0398,ORD-0345,2024-11-24,2024-11-29,Delivered
SHP-0399,ORD-0137,2024-09-02,2024-09-09,In Transit
SHP-0400,ORD-0054,2024-08-14,2024-08-19,In Transit
SHP-0401,ORD-0469,2024-06-26,2024-06-29,Delivered
SHP-0402,ORD-0379,2024-07-02,2024-07-08,Delivered
SHP-0403,ORD-0395,2024-05-05,2024-05-11,In Transit
SHP-0404,ORD-0376,2024-04-05,2024-04-10,Delivered
SHP-0405,ORD-0165,2024-08-23,2024-08-26,Returned
SHP-0406,ORD-0410,2024-12-06,2024-12-11,Delivered
SHP-0407,ORD-0251,2024-07-23,2024-07-25,In Transit
SHP-0408,ORD-0240,2024-07-21,2024-07-26,Delivered
SHP-0409,ORD-0335,2024-02-08,2024-02-11,Delivered
SHP-0410,ORD-0017,2024-07-17,2024-07-23,Delivered
SHP-0411,ORD-0388,2024-09-23,2024-09-28,Delivered
SHP-0412,ORD-0184,2024-11-25,2024-12-01,Delivered
SHP-0413,ORD-0231,2024-10-08,2024-10-10,Delivered
SHP-0414,ORD-0366,2024-05-05,2024-05-11,Returned
SHP-0415,ORD-0310,2024-01-16,2024-01-23,In Transit
SHP-0416,ORD-0116,2024-09-20,2024-09-22,Returned
SHP-0417,ORD-0237,2024-08-14,2024-08-19,Delivered
SHP-0418,ORD-0318,2024-11-02,2024-11-04,Delivered
SHP-0419,ORD-0191,2024-08-14,2024-08-21,Delivered
SHP-0420,ORD-0026,2024-04-27,2024-05-03,Returned
SHP-0421,ORD-0236,2024-05-21,2024-05-26,Delivered
SHP-0422,ORD-0183,2024-05-09,2024-05-11,Delivered
SHP-0423,ORD-0409,2024-06-08,2024-06-14,In Transit
SHP-0424,ORD-0476,2024-07-25,2024-07-28,Returned
